 wave_A T
0 6509.98 0.0
1 6524.81 0.0
2 6533.08 0.00352
3 6535.93 0.01146
4 6538.21 0.02097
5 6540.06 0.03365
6 6541.63 0.05266
7 6543.62 0.09856
8 6546.18 0.19827
9 6547.6 0.30113
10 6549.16 0.39925
11 6550.57 0.49895
12 6551.99 0.59706
13 6553.12 0.69992
14 6554.83 0.79963
15 6556.53 0.87085
16 6557.1 0.893
17 6557.95 0.91042
18 6558.95 0.93258
19 6559.81 0.9405
20 6561.66 0.94052
21 6563.37 0.93896
22 6565.51 0.94689
23 6567.93 0.95166
24 6570.36 0.94852
25 6573.07 0.94222
26 6576.06 0.9201
27 6578.2 0.89006
28 6579.92 0.85527
29 6581.21 0.7999
30 6583.64 0.69866
31 6585.5 0.599
32 6587.22 0.50092
33 6588.65 0.40125
34 6590.23 0.29842
35 6592.38 0.20192
36 6593.52 0.16396
37 6594.52 0.13232
38 6595.52 0.10385
39 6597.09 0.07381
40 6598.52 0.05326
41 6600.38 0.03587
42 6602.37 0.02165
43 6605.37 0.01219
44 6608.93 0.00432
45 6611.93 0.00118
46 6615.21 0.00122
47 6619.49 0.0
48 6624.19 0.0
