#Wave_nm Transmission
650.998 0.0000 
652.481 0.0000
653.308 0.3515
653.593 1.1456
653.821 2.0974
654.006 3.3651
654.163 5.2655
654.362 9.8562
654.618 19.827
654.760 30.113
654.916 39.925
655.057 49.895
655.199 59.706
655.312 69.992
655.483 79.963
655.653 87.085
655.710 89.300
655.795 91.042
655.895 93.258
655.981 94.050
656.166 94.052
656.337 93.896
656.551 94.689
656.793 95.166
657.036 94.852
657.307 94.222
657.606 92.010
657.820 89.006
657.992 85.527
658.121 79.990
658.364 69.866
658.550 59.900
658.722 50.092
658.865 40.125
659.023 29.842
659.238 20.192
659.352 16.396
659.452 13.232
659.552 10.385
659.709 7.3810
659.852 5.3255
660.038 3.5870
660.237 2.1651
660.537 1.2188
660.893 0.4315
661.193 0.1182
661.521 0.1216
661.949 0.0000
662.419 0.0000
