#Wave_nm Transmission
494.012 0.0000 
495.508 0.0000
496.020 0.3461 
496.419 0.5083 
496.875 1.3040
497.132 1.9394
497.345 3.3656
497.530 4.6332
497.744 6.6923
497.900 9.2255
498.000 10.808
498.114 13.183
498.199 15.874
498.313 19.989
498.583 29.801
498.739 39.930
498.923 50.216
499.079 59.870
499.221 70.156
499.419 79.810
499.533 84.241
499.661 88.515
499.775 90.889
499.931 92.948
500.173 94.374
500.430 95.010
500.715 95.171
501.213 94.226
501.470 93.596
501.712 92.016
501.840 90.277
501.983 88.221
502.126 85.375
502.297 79.996
502.526 70.189
502.712 60.222
502.898 50.097
503.070 39.972
503.256 30.164
503.527 19.882
503.613 17.351
503.713 14.821
503.841 11.341
504.055 8.1788
504.298 5.1748
504.483 3.7526
504.683 2.6470
504.982 1.7006
505.310 0.7545 
505.666 0.4415 
506.022 0.2868 
506.435 0.1327 
507.490 0.0000
508.501 0.0000
