#Wave_nm Transmission
666.497 0.000 
667.481 0.000
667.980 0.285
668.636 0.752
669.007 1.540
669.278 2.328
669.492 3.275
669.649 4.539
669.849 6.594
669.991 8.491
670.106 10.70
670.234 13.39
670.334 16.71
670.463 20.19
670.663 29.52
670.864 40.12
671.007 49.93
671.165 60.06
671.323 70.02
671.509 80.15
671.566 82.68
671.652 85.68
671.795 88.69
671.895 91.38
672.037 92.80
672.180 93.59
672.337 94.54
672.565 95.17
672.850 94.69
673.093 94.69
673.349 94.21
673.535 93.58
673.805 91.67
674.019 89.62
674.133 87.08
674.247 84.71
674.346 82.02
674.417 79.64
674.659 70.15
674.829 59.70
675.014 50.05
675.184 39.92
675.369 29.95
675.639 19.66
675.695 17.29
675.838 13.96
675.952 11.27
676.094 8.585
676.251 6.210
676.422 4.784
676.621 3.041
676.906 2.089
677.220 1.136
677.533 0.342
677.861 0.022
678.189 0.000
679.002 0.000
